"SAMPLES","CLASS","X","Y"
"cell214","class1",3.8637620192,1.3458045963
"cell215","class1",4.1315176689,2.3185362651
"cell216","class1",3.1343110758,1.95410514
"cell217","class1",2.9827633304,1.9717856313
"cell218","class1",2.6833477723,2.0205392633
"cell219","class1",2.9605610322,1.8720214726
"cell220","class1",3.3108634802,1.7900341601
"cell221","class1",4.0874670533,1.600226041
"cell222","class1",3.0312410615,1.1346669218
"cell223","class1",2.2726148121,2.3692608126
"cell224","class1",2.9845141141,1.0233384006
"cell225","class1",-0.0833214943,2.8766223905
"cell226","class1",-0.1153505948,1.6823411973
"cell227","class1",3.2916388609,1.8902410691
"cell228","class1",2.6580162998,1.7816165971
"cell229","class1",3.4341686331,2.178493437
"cell230","class1",1.6716227181,1.9900950313
"cell231","class1",2.2103296747,1.300240369
"cell232","class1",3.9756605886,0.8380164838
"cell233","class1",3.9977010138,1.8803353416
"cell234","class1",1.2677591952,1.9282679936
"cell235","class1",1.5489204226,2.7341233982
"cell236","class1",4.3536640402,1.7865844236
"cell237","class1",4.2778787722,2.136796911
"cell238","class1",5.3325298638,2.3085698298
"cell239","class1",3.5035245271,1.2904782683
"cell240","class1",3.9944253346,2.367923651
"cell241","class1",2.9663405204,1.9305464574
"cell242","class1",3.2940323522,1.3953172901
"cell243","class1",3.3853264064,1.9382822386
"cell244","class1",1.5013523969,1.7539317459
"cell245","class1",3.9158883776,3.119283322
"cell246","class1",2.9604680539,1.8514201649
"cell247","class1",3.266318364,2.3387319506
"cell248","class1",3.6946251975,2.5845936159
"cell249","class1",3.650166225,2.6937361381
"cell250","class1",0.7839698886,1.2574262835
"cell251","class1",2.1220789125,1.6655469474
"cell252","class1",3.2067010247,1.1525818371
"cell253","class1",3.3859384885,1.9617846086
"cell254","class1",3.1557323733,2.4282485065
"cell255","class1",1.8742747754,2.1492104407
"cell256","class1",3.0817656885,1.4591237597
"cell257","class1",2.0900565099,2.9137946419
"cell258","class1",4.6193159452,1.6953566955
"cell259","class1",3.6872567319,2.7147190031
"cell260","class1",2.8960810554,2.0038087139
"cell261","class1",3.8153162972,2.4954705196
"cell262","class1",3.1022987832,2.394448168
"cell263","class1",2.658627483,3.6520926041
"cell264","class1",2.2913682024,2.0686386491
"cell265","class1",1.9142174843,1.6653604727
"cell266","class1",2.4712862323,2.6369339967
"cell267","class1",3.7974629788,1.8409901934
"cell268","class1",1.1115489984,1.7978024826
"cell269","class1",3.5700521425,1.8699994883
"cell270","class1",0.6736782999,1.8920930398
"cell271","class1",2.9659943298,2.1879341034
"cell272","class1",2.6230584018,2.4324068219
"cell273","class1",3.9054338928,1.4455792634
"cell274","class1",3.2902101528,2.3824012946
"cell275","class1",5.2797573689,1.5415439617
"cell276","class1",3.3391818176,1.5596319276
"cell277","class1",3.155403169,0.4120359836
"cell278","class1",3.0158103432,2.0987185587
"cell279","class1",3.4156887455,2.4504861156
"cell280","class1",1.8519353089,2.0371916294
"cell281","class1",2.9555421588,2.0446370782
"cell282","class1",2.6482197405,1.9946051282
"cell283","class1",5.1609015816,2.3545079882
"cell284","class1",4.2589540332,2.3898562903
"cell285","class1",2.6289720894,2.1625447767
"cell286","class1",3.7200900494,2.0031467751
"cell287","class1",0.9817457468,1.2679166545
"cell288","class1",4.1465460944,2.3309453568
"cell289","class1",2.7223782621,1.3208502912
"cell290","class1",1.7490226486,1.7204634496
"cell291","class1",4.5870825093,1.4768444668
"cell292","class1",3.0197660338,2.2675764972
"cell293","class1",2.2385221069,1.3531815195
"cell294","class1",4.0679935548,1.8922604969
"cell295","class1",3.9785977434,2.2299298592
"cell296","class1",2.3669034377,2.5081664274
"cell297","class1",3.7812653253,1.6641822923
"cell298","class1",2.4520489037,2.0678937874
"cell299","class1",3.0601250794,1.6627949879
"cell300","class1",1.186992287,1.3776528688
"cell301","class1",2.2542460002,2.3992539448
"cell302","class1",3.1869812933,2.2043488997
"cell303","class1",3.8917907264,2.4477854019
"cell304","class1",2.6707824895,1.6743616225
"cell305","class1",3.6699339808,2.5280561071
"cell306","class1",2.9507774604,1.4135569628
"cell307","class1",2.1975234458,2.1653656753
"cell308","class1",4.2193370463,2.1929227935
"cell309","class1",4.2458103955,1.1413169441
"cell310","class1",3.3580078892,2.390281767
"cell311","class1",4.8505951615,2.807790554
"cell312","class1",3.0204771894,2.6197802495
"cell313","class1",4.4620566285,1.9790228702
"cell314","class1",3.2036801606,2.1395714012
"cell315","class1",3.8733509074,1.8311524311
"cell316","class1",4.2506565691,1.5471232706
"cell317","class1",3.6993105441,1.6775685607
"cell318","class1",3.7676880236,2.1826781271
"cell319","class1",4.7610567513,1.8912354673
"cell320","class1",1.9592078105,3.076552063
"cell321","class1",4.0130472959,2.2165645137
"cell322","class1",3.2165132973,2.2027597349
"cell323","class1",4.0875202075,1.8833670613
"cell324","class1",5.0505841919,1.962669994
"cell325","class1",2.949053719,1.5356139221
"cell326","class1",4.1357587022,2.6362925141
"cell327","class1",4.269632787,1.4840283115
"cell328","class1",2.9398656449,1.8070104747
"cell329","class1",1.8228752986,1.6725222989
"cell330","class1",3.5611570627,2.7972330107
"cell331","class1",3.2157337018,2.443246298
"cell332","class1",1.475589641,1.8730815804
"cell333","class1",3.1683562909,1.9836877748
"cell334","class1",3.071732358,2.2016441735
"cell335","class1",4.5058909165,1.7485537099
"cell336","class1",1.8327926252,1.6134238657
"cell337","class1",3.2990592786,2.4256862993
"cell338","class1",1.3602364087,2.2396422722
"cell339","class1",3.4250181362,2.2267175867
"cell340","class1",3.2572798332,2.6280281361
"cell341","class1",2.441819552,1.4542921655
"cell342","class1",1.9146971014,2.2950745962
"cell343","class1",1.7233175317,2.5798200279
"cell344","class1",3.0711571322,2.7311080897
"cell345","class1",0.9773409668,2.0808921956
"cell346","class1",4.1524543417,1.9533817215
"cell347","class1",1.6742505688,2.3706601644
"cell348","class1",1.9093595582,1.6170068742
"cell349","class1",4.0967202755,0.8508307133
"cell350","class1",4.1348869777,2.2119149886
"cell351","class1",2.1052514422,1.7949912374
"cell352","class1",3.6819658958,1.8585809855
"cell353","class1",2.3819942508,1.9113568234
"cell354","class1",4.2322747015,2.0865081517
"cell355","class1",3.9063257354,2.2430680463
"cell356","class1",2.2007335886,1.4857801057
"cell357","class1",3.2221532159,1.8371393662
"cell358","class1",3.2528141544,1.5510902955
"cell359","class1",3.9230137629,2.0421955041
"cell360","class1",3.6112266266,1.4650882478
"cell361","class1",2.9005852749,1.4409676729
"cell362","class1",4.2891413582,1.7726160402
"cell363","class1",3.244323921,2.0058593678
"cell364","class1",2.1539805999,1.5242014641
"cell365","class1",1.9482820587,1.9147131163
"cell366","class1",1.3195551514,1.761891684
"cell367","class1",4.164356736,2.3705624973
"cell368","class1",3.0033913071,2.3309145964
"cell369","class1",2.5578657892,2.6219470746
"cell370","class1",3.9221813896,1.1952413477
"cell371","class1",3.3226810917,1.287691858
"cell372","class1",1.4098515192,2.9817502028
"cell373","class1",3.6562466484,1.6837941559
"cell374","class1",4.0136515737,2.0451446833
"cell375","class1",3.144989222,2.3137780815
"cell376","class1",2.9996129979,1.9584827175
"cell377","class1",2.0833471724,1.255402004
"cell378","class1",3.8161272724,1.9644731659
"cell379","class1",1.5047581784,1.7540880885
"cell380","class1",2.6570486689,2.9756502911
"cell381","class1",1.638404572,2.8195047993
"cell382","class1",0.3750468608,2.1699039409
"cell383","class1",3.2594511259,1.6971175999
"cell384","class1",1.3207807966,2.0514645791
"cell385","class1",3.1524776771,2.1199706013
"cell386","class1",4.7418409187,1.4594978845
"cell387","class1",1.4577830819,2.4657760976
"cell388","class1",3.3591290881,1.9144578888
"cell389","class1",2.7239824206,1.290258023
"cell390","class1",2.0048123051,1.5008367163
"cell391","class1",3.9028878977,2.5588213021
"cell392","class1",4.7589293879,1.9594277004
"cell393","class1",2.5305490956,2.7237940573
"cell394","class1",3.2251715641,1.770202119
"cell395","class1",2.5547526827,2.0423184776
"cell396","class1",4.2066002253,0.9536574536
"cell397","class1",3.1093878063,2.1350666521
"cell398","class1",3.216473149,1.1410487895
"cell399","class1",4.2292913513,1.4727135123
"cell400","class1",3.9233296624,2.1797135086
"cell401","class1",2.3529434145,2.8246530281
"cell402","class1",1.9743517214,1.9209871765
"cell403","class1",4.5806026569,1.9990401206
"cell404","class1",2.7269191751,2.5996197376
"cell405","class1",1.0720933108,2.0815365973
"cell406","class1",2.3781808722,1.9498741455
"cell407","class1",2.7684683126,1.9248796771
"cell408","class1",3.4548086467,1.6449002746
"cell409","class1",2.3056830642,2.2280215725
"cell410","class1",0.9319190967,1.8742219074
"cell411","class1",4.0314307561,2.058814589
"cell412","class1",4.1636072823,2.7780830415
"cell413","class1",5.1779259912,1.5639368218
"cell414","class1",3.2697204125,1.7224693798
"cell415","class1",3.1507270565,2.2188418678
"cell416","class1",2.7113723771,2.2090622164
"cell417","class1",4.0082740822,2.1254667851
"cell418","class1",3.7526722693,2.8911284656
"cell419","class1",2.6858295207,1.5293959773
"cell420","class1",2.9527463615,1.8818648862
"cell421","class1",1.7746659205,1.7020491068
"cell422","class1",2.1018615805,1.5902674635
"cell423","class1",3.5393844397,1.8084722118
"cell424","class1",1.3447237688,2.9456682942
"cell425","class1",3.0225933802,1.6199416509
"cell426","class1",4.870217762,2.2142546178
"cell427","class1",3.8639082549,1.3650354024
"cell428","class1",3.3704138506,1.5659944691
"cell429","class1",3.5686967655,2.4478404974
"cell430","class1",3.3354459274,1.7223453626
"cell431","class1",2.7167426847,1.8397764911
"cell432","class1",1.3470409397,1.7072034043
"cell433","class1",2.7905771139,2.5610450277
"cell434","class1",4.2669059974,1.1133730266
"cell435","class1",3.1559548579,2.1112026157
"cell436","class1",1.6266462175,1.6647108615
"cell437","class1",2.0440708703,2.2443537128
"cell438","class1",2.0601363764,1.1858933922
"cell439","class1",5.6592048722,2.898874897
"cell440","class1",2.486228686,1.7953404545
"cell441","class1",4.3406640802,3.0196782234
"cell442","class1",1.9216457295,1.6639067443
"cell443","class1",3.3046093085,1.5253033867
"cell444","class1",1.6983274563,2.1506086944
"cell445","class1",3.7188063594,1.4987589437
"cell446","class1",2.3003203944,2.1512700429
"cell447","class1",2.2487704866,2.2210399864
"cell448","class1",4.22296188,2.2117860542
"cell449","class1",2.6085508551,2.0496849472
"cell450","class1",1.7968364593,1.9780529487
"cell451","class1",3.1110108915,1.6218341928
"cell452","class1",2.2271088951,1.6688816721
"cell453","class1",4.7853470498,2.8096245167
"cell454","class1",2.7594855962,0.945167633
"cell455","class1",2.9214644195,1.5084051904
"cell456","class1",1.6025058282,2.1543971853
"cell457","class1",5.4585126092,2.2238050427
"cell458","class1",2.9160671593,1.7485895651
"cell459","class1",2.1773803844,2.1421602847
"cell460","class1",0.5809686707,1.8599751517
"cell461","class1",2.1848188919,2.4633683337
"cell462","class1",3.8840877293,2.2015708185
"cell463","class1",3.00887109,1.7451598352
"cell464","class1",4.0175080573,0.867881272
"cell465","class1",1.2308391209,2.2067774956
"cell466","class1",3.6400316316,3.0285780105
"cell467","class1",2.0811369599,2.2487433405
"cell468","class1",3.1556548392,1.8503674436
"cell469","class1",4.5275142803,2.8202929856
"cell470","class1",3.6791373248,2.0673532994
"cell471","class1",3.266024639,2.8622159989
"cell472","class1",3.7769289194,2.1396543833
"cell473","class1",3.2243048167,2.3391727293
"cell474","class1",4.2999821498,2.8266979451
"cell475","class1",2.4713788392,2.38791754
"cell476","class1",1.5509652719,3.2324392506
"cell477","class1",3.1154606743,1.387121566
"cell478","class1",2.0309673432,1.3699642741
"cell479","class1",2.4804671574,2.6058881809
"cell480","class1",2.8244290713,1.7558257482
"cell481","class1",3.459262205,2.0267480131
"cell482","class1",4.1613804057,2.4876854117
"cell483","class1",4.1254921357,2.1450240035
"cell484","class1",4.2922123118,1.9629536363
"cell485","class1",4.6484403296,2.2180778149
"cell486","class1",1.6565740985,1.4976664832
"cell487","class1",3.5758666369,1.9760735892
"cell488","class1",3.2901393664,2.6259323938
"cell489","class1",0.7298393566,2.1710661679
"cell490","class1",4.2085055677,3.3437881206
"cell491","class1",2.3110488722,2.6055886093
"cell492","class1",2.6525209213,2.8737895135
"cell493","class1",2.4071834527,2.1112313352
"cell494","class1",2.1510846389,1.3856423622
"cell495","class1",2.7904045697,1.6648068519
"cell496","class1",5.4113290541,2.7586156101
"cell497","class1",2.5596077759,1.5002050854
"cell498","class1",3.1042680183,2.4463850323
"cell499","class1",3.7382171505,2.3072471455
"cell500","class1",3.0896739486,1.5051404571
"cell501","class1",2.6068312288,2.4866669679
"cell502","class1",2.9578287243,1.3955550558
"cell503","class1",3.5681814573,2.0904075557
"cell504","class1",4.204137507,1.5580802764
"cell505","class1",3.6294559824,2.1380714716
"cell506","class1",4.7761976413,1.9404356985
"cell507","class1",3.2327221797,1.2615939032
"cell508","class1",2.0653828368,2.5333570362
"cell509","class1",3.3485282783,2.5465592149
"cell510","class1",3.5409186482,2.213189605
"cell511","class1",2.8883497376,1.8359114862
"cell512","class1",3.4205055319,1.0542623409
"cell513","class1",4.063905713,1.5653209868
"cell514","class1",1.4755769814,2.1501686388
"cell515","class1",2.7696798611,2.0642343028
"cell516","class1",3.132503048,1.9784889694
"cell517","class1",3.6272784239,2.0742223517
"cell518","class1",1.7667692542,2.5824992662
"cell519","class1",2.9919209257,2.480059934
"cell520","class1",1.85422023,1.1842830819
"cell521","class1",3.7294050935,2.0015514983
"cell522","class1",1.8894166577,0.9881038174
"cell523","class1",3.7783992046,3.0026902304
"cell524","class1",2.3734318603,2.7891493836
"cell525","class1",2.5953149964,2.6300743243
"cell526","class1",2.4463719304,2.1491532383
"cell527","class1",3.0841094137,2.3644522489
"cell528","class1",2.508509779,1.8218763973
"cell529","class1",2.4709367857,2.5037983817
"cell530","class1",3.7902207991,1.8134016615
"cell531","class1",2.0454036292,1.2149223955
"cell532","class1",4.0381679419,2.453282642
"cell533","class1",4.0151335137,2.8090559974
"cell534","class1",2.9480471222,2.2860124181
"cell535","class1",3.4793261412,0.6597744879
"cell536","class1",3.4496233721,2.4732857386
"cell537","class1",1.8170330192,3.1468425928
"cell538","class1",5.509781116,0.9669811105
"cell539","class1",4.1173908785,2.7834851672
"cell540","class1",3.3266833801,2.5434277548
"cell541","class1",0.2665637251,1.5145796732
"cell542","class1",1.8978693725,1.6910881394
"cell543","class1",1.7335067197,0.8387561811
"cell544","class1",3.1505601537,3.2347879033
"cell545","class1",4.0055094233,1.4224349193
"cell546","class1",1.9596596217,2.0124851456
"cell547","class1",2.7103537443,1.8141677565
"cell548","class1",3.2025381897,2.1453211854
"cell549","class1",2.4021815536,2.0356068349
"cell550","class1",2.51375905,1.2972965179
"cell551","class1",3.3261379025,1.9960772793
"cell552","class1",3.4862555554,2.0003508784
"cell553","class1",5.7793840071,1.8107712733
"cell554","class1",4.1897952799,2.1474362055
"cell555","class1",4.1649988612,1.6284452572
"cell556","class1",3.4465066899,1.3984621249
"cell557","class1",4.3658806816,1.8294674472
"cell558","class1",1.6405534471,1.6713261741
"cell559","class1",3.5894188542,1.3499226824
"cell560","class1",3.4453190288,2.3570487132
"cell561","class1",2.3476512269,1.8357572973
"cell562","class1",3.6495713861,2.2461510213
"cell563","class1",3.9683260979,1.8251798605
"cell564","class1",2.4723486524,2.2101323868
"cell565","class1",4.8701859025,2.3142646304
"cell566","class1",3.2008239709,2.0279453742
"cell567","class1",2.4773451009,1.3859498851
"cell568","class1",3.2878673473,1.8489548263
"cell569","class1",1.6083448315,1.4902397931
"cell570","class1",2.3684272085,2.2432271872
"cell571","class1",2.639585325,1.7926808231
"cell572","class1",3.5545187383,1.6381526697
"cell573","class1",2.1398002588,2.2936974908
"cell574","class1",3.1025854665,2.4615377423
"cell575","class1",1.4024053707,1.4174617872
"cell576","class1",4.2775732748,1.98946702
"cell577","class1",4.1450525114,2.2651182155
"cell578","class1",3.6472903578,1.9613938007
"cell579","class1",1.9079522952,2.9277941319
"cell580","class1",4.3994805665,1.8658256107
"cell581","class1",2.9483580129,2.3010228707
"cell582","class1",1.7373744505,1.3946109604
"cell583","class1",3.3844833047,1.6510955594
"cell584","class1",4.3304863697,2.2197047755
"cell585","class1",2.4856804786,2.3280663594
"cell586","class1",4.0331352349,2.1471623443
"cell587","class1",3.5490955952,3.085877305
"cell588","class1",1.1416579353,1.7471131504
"cell589","class1",2.8812253262,1.7172856881
"cell590","class1",4.0389228727,2.5168197096
"cell591","class1",2.5234990035,1.5895287229
"cell592","class1",4.0985256347,3.1082636355
"cell593","class1",1.3472873397,1.7208650633
"cell594","class1",5.0943513226,1.8471465935
"cell595","class1",3.1311943005,2.5644014422
"cell596","class1",3.1951656299,1.6079851592
"cell597","class1",3.7294849991,2.4685598779
"cell598","class1",2.8593764688,2.3960569784
"cell599","class1",2.3233724489,1.4627254798
"cell600","class1",3.6703902884,2.4170048609
"cell601","class1",4.2624222391,2.1708808829
"cell602","class1",2.0610754178,1.722066652
"cell603","class1",3.6964589014,1.6846696091
"cell604","class1",3.6414848555,2.0095163683
"cell605","class1",2.8764938957,2.1216858249
"cell606","class1",3.7907362946,1.5867375705
"cell607","class1",2.8898133867,2.1579706938
"cell608","class1",3.9403341969,1.9384155145
"cell609","class1",1.8886995863,1.5802728092
"cell610","class1",0.8098407287,1.4911371897
"cell611","class1",3.1185920963,1.7183162739
"cell612","class1",2.6144041277,1.5975294909
"cell613","class1",1.9979356852,2.5362420038
"cell614","class1",2.6002473359,1.4316819919
"cell615","class1",4.4079725925,2.0666021016
"cell616","class1",3.9615640911,2.2602754797
"cell617","class1",4.4960291531,1.5155677056
"cell618","class1",2.0442400883,2.1843543588
"cell619","class1",4.3633508226,1.7584508261
"cell620","class1",1.5804453699,1.5585062952
"cell621","class1",3.0518033783,1.2696656535
"cell622","class1",2.3238396689,1.5251948998
"cell623","class1",3.638174235,2.8577682562
"cell624","class1",2.2094667248,1.2145002449
"cell625","class1",4.2712946656,1.6734580075
"cell626","class1",3.5162480772,1.4225709867
"cell627","class1",4.7876232749,2.380672293
"cell628","class1",4.5771534647,1.5409673076
"cell629","class1",0.7230150458,1.7781557201
"cell630","class1",2.2838177586,2.361342793
"cell631","class1",2.2722995703,2.4656057213
"cell632","class1",2.2277464019,1.4535833782
"cell633","class1",4.1827090729,1.9041248731
"cell634","class1",3.5757362357,2.1891403699
"cell635","class1",3.1755998696,1.9946201064
"cell636","class1",3.2371370069,2.934407842
"cell637","class1",3.1204055102,2.6474752779
"cell638","class1",2.3322630658,2.6665610521
"cell639","class1",3.1479403384,0.972993757
